neckneck_ratio,forward_lean_z,shoulder_tilt,head_tilt,hand_to_face,pose_x,pose_y,wrist_elevated,label
0.7028,0.1745,0.1131,0.0242,1.4111,-38.2607,52.6087,0,Looking Away
0.2857,1.1142,0.0577,0.0202,999.0,0.0,0.0,0,Slouching
0.0991,1.0109,0.0198,0.0566,999.0,0.0,0.0,0,Slouching
0.5856,0.9585,0.0226,0.0518,0.5498,-26.4417,-0.5109,1,Focused
0.5579,0.8701,0.0258,0.0806,0.4796,-44.3302,3.0401,1,Leaning on Desk
0.5943,0.7531,0.0878,0.0203,1.527,-34.6229,1.7195,0,Focused
0.2618,1.0604,0.091,0.0199,999.0,0.0,0.0,0,Slouching
0.5256,0.8385,0.0102,0.0512,0.4633,-33.7455,9.1119,1,Leaning on Desk
0.6434,0.3837,0.0376,0.0034,999.0,-36.9669,-131.3261,0,Looking Away
0.5893,0.6664,0.0319,0.0119,999.0,-82.1977,-12.4516,0,Looking Away
0.6286,0.8413,0.0665,0.0133,999.0,-47.2929,177.713,0,Focused
0.6309,0.5898,0.0095,0.0095,1.4158,-43.409,4.3093,1,Focused
0.262,1.0837,0.0797,0.0171,999.0,0.0,0.0,0,Slouching
0.5483,0.8229,0.0194,0.0419,1.4081,-32.7703,3.9711,0,Focused
0.5766,0.3777,0.0865,0.0192,999.0,0.0,0.0,0,Looking Away
0.4183,1.6477,0.1086,0.0,0.775,0.0,0.0,1,Slouching
0.5789,0.3596,0.0976,0.0195,999.0,0.0,0.0,0,Looking Away
0.6016,0.7643,0.0902,0.0434,999.0,-41.101,155.5287,0,Looking Away
0.5658,0.7844,0.0302,0.0151,1.288,-77.4476,17.9224,1,Looking Away
0.544,0.816,0.0115,0.0,999.0,-49.3172,-0.3527,0,Focused
0.6444,0.5146,0.0148,0.0037,1.4443,-42.6574,1.4617,0,Focused
0.5116,0.8323,0.0667,0.0826,0.3951,-42.3408,-5.9728,1,Leaning on Desk
0.542,0.8159,0.0038,0.0,999.0,-46.5083,-1.3108,0,Focused
0.5292,0.8871,0.0103,0.0515,0.4601,-33.7261,9.5049,1,Leaning on Desk
0.6003,0.8177,0.1593,0.0256,999.0,-50.3577,149.938,0,Looking Away
0.5772,0.8142,0.1725,0.0282,999.0,-42.6303,144.0687,0,Looking Away
0.6008,0.9281,0.0544,0.0114,999.0,-45.1678,-178.9093,0,Focused
0.5859,0.4217,0.0401,0.012,999.0,-66.7404,-40.0957,0,Looking Away
0.617,0.6432,0.1315,0.0067,999.0,-46.4138,147.1787,0,Looking Away
0.6283,0.775,0.0543,0.0068,999.0,-45.9868,-158.4903,0,Focused
0.5665,0.8687,0.1797,0.0274,999.0,-46.5762,145.932,0,Looking Away
0.5931,0.9613,0.088,0.0369,999.0,-44.4346,176.3673,0,Focused
0.5684,0.6119,0.0,0.0421,1.3576,-32.5383,0.2875,1,Focused
0.0385,0.5207,0.0833,0.0224,999.0,0.0,0.0,0,Slouching
0.0919,0.7348,0.1086,0.0195,999.0,0.0,0.0,0,Slouching
0.4628,0.906,0.0208,0.0475,0.4883,-39.0822,-2.0859,1,Leaning on Desk
0.5616,0.6851,0.0387,0.0077,1.8442,-59.303,-33.6077,0,Looking Away
0.6008,0.929,0.0544,0.0143,999.0,-43.8284,178.2319,0,Focused
0.5869,0.5823,0.1681,0.0171,999.0,-46.8675,139.8425,0,Looking Away
0.5797,0.8475,0.1612,0.0283,999.0,-45.2273,147.5784,0,Looking Away
0.5849,0.7002,0.0883,0.0518,999.0,-46.9779,145.894,0,Looking Away
0.1717,0.9583,0.0412,0.0893,0.1319,0.0,0.0,1,Slouching
0.552,0.7908,0.0032,0.0315,1.4047,-30.1873,2.7551,0,Focused
0.4348,0.8252,0.1032,0.097,0.3754,-41.6046,-8.8517,1,Leaning on Desk
0.4536,0.9661,0.0154,0.0339,0.3972,-37.2122,-9.0622,1,Leaning on Desk
0.5649,0.8108,0.0097,0.013,0.4703,-49.193,-7.2622,1,Leaning on Desk
